Card,Date,Month,Time,Time Period,Amount,Amount_Range,Use Chip,Merchant Type,Merchant State_grouped,MCC_Category,Error_Group,Is Fraud?
0,2002-09-11,9,13:17,Open Hours,-99.0,Less than Zero,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-09-11,9,13:23,Open Hours,99.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-09-11,9,19:30,Evening,80.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-09-12,9,06:21,Morning,122.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,Insufficient Balance,No
0,2002-09-12,9,06:26,Morning,93.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-12,9,06:50,Morning,53.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-12,9,11:43,Open Hours,1.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-13,9,06:22,Morning,127.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-13,9,06:37,Morning,44.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-14,9,06:09,Morning,164.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-14,9,13:08,Open Hours,13.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-09-15,9,05:34,Night,110.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-15,9,06:18,Morning,126.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-15,9,06:55,Morning,41.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-15,9,13:54,Open Hours,81.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-16,9,06:00,Morning,115.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-16,9,06:45,Morning,44.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-17,9,06:09,Morning,120.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,Insufficient Balance,No
0,2002-09-17,9,06:24,Morning,160.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-18,9,06:19,Morning,129.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-18,9,20:01,Evening,92.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-09-19,9,06:25,Morning,168.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-19,9,09:42,Open Hours,53.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-09-20,9,06:01,Morning,105.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,Insufficient Balance,No
0,2002-09-20,9,06:17,Morning,120.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-21,9,06:27,Morning,146.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-09-21,9,06:47,Morning,48.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-21,9,14:23,Open Hours,3.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-22,9,06:50,Morning,48.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-22,9,09:29,Open Hours,52.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-09-22,9,09:37,Open Hours,83.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-09-22,9,20:16,Evening,76.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-09-23,9,06:01,Morning,135.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-23,9,06:46,Morning,35.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-23,9,20:26,Evening,81.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-09-24,9,06:07,Morning,113.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-25,9,06:19,Morning,162.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-25,9,06:36,Morning,39.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-25,9,13:01,Open Hours,56.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-25,9,13:10,Open Hours,100.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-25,9,13:14,Open Hours,-100.0,Less than Zero,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-26,9,06:25,Morning,93.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-27,9,06:21,Morning,200.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-27,9,08:01,Morning,23.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-27,9,09:42,Open Hours,58.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-09-28,9,05:36,Night,78.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-28,9,06:23,Morning,142.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-28,9,09:32,Open Hours,55.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-09-28,9,13:13,Open Hours,153.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-09-29,9,06:06,Morning,120.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,Insufficient Balance,No
0,2002-09-29,9,06:22,Morning,120.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,Insufficient Balance,No
0,2002-09-29,9,06:33,Morning,41.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-29,9,20:15,Evening,166.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-09-30,9,06:21,Morning,127.0,0-200,Online Transaction,online,Online,Retail and Wholesale Stores,No Error,No
0,2002-09-30,9,06:57,Morning,38.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-30,9,12:52,Open Hours,11.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-09-30,9,20:07,Evening,80.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-10-01,10,06:15,Morning,120.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-01,10,06:56,Morning,31.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-01,10,11:34,Open Hours,35.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-02,10,06:17,Morning,139.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-10-03,10,05:59,Night,46.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-03,10,06:12,Morning,103.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-03,10,06:50,Morning,36.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-04,10,06:20,Morning,115.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-05,10,09:34,Open Hours,53.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-10-05,10,10:38,Open Hours,17.0,0-200,Swipe Transaction,in-person,USA CA,Personal Care Services and Products,No Error,No
0,2002-10-06,10,06:14,Morning,139.0,0-200,Online Transaction,online,Online,Retail and Wholesale Stores,No Error,No
0,2002-10-07,10,06:24,Morning,134.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-08,10,06:24,Morning,100.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-10-08,10,06:26,Morning,155.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-08,10,08:24,Morning,27.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-09,10,06:10,Morning,118.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-10-09,10,06:44,Morning,31.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-09,10,08:16,Morning,53.0,0-200,Online Transaction,online,Online,Retail and Wholesale Stores,No Error,No
0,2002-10-10,10,06:24,Morning,142.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-11,10,05:52,Night,173.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-11,10,06:08,Morning,159.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-11,10,06:57,Morning,38.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-11,10,20:00,Evening,87.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-10-12,10,06:29,Morning,169.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-13,10,06:21,Morning,135.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-13,10,06:33,Morning,30.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-13,10,13:00,Open Hours,59.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-13,10,13:15,Open Hours,-99.0,Less than Zero,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-13,10,13:17,Open Hours,99.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-14,10,06:12,Morning,101.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-14,10,06:12,Morning,1050.0,More than 200,Swipe Transaction,in-person,USA CA,"Airlines, Hotels and Lodging, Car Rentals, and Travel-Related Services",No Error,No
0,2002-10-14,10,18:58,Evening,207.0,More than 200,Swipe Transaction,in-person,US not CA,"Airlines, Hotels and Lodging, Car Rentals, and Travel-Related Services",No Error,No
0,2002-10-15,10,06:03,Morning,99.0,0-200,Swipe Transaction,in-person,US not CA,Retail and Wholesale Stores,No Error,No
0,2002-10-15,10,13:11,Open Hours,-88.0,Less than Zero,Swipe Transaction,in-person,US not CA,Online Shopping,No Error,No
0,2002-10-15,10,13:17,Open Hours,88.0,0-200,Swipe Transaction,in-person,US not CA,Online Shopping,No Error,No
0,2002-10-15,10,13:21,Open Hours,55.0,0-200,Swipe Transaction,in-person,US not CA,Online Shopping,No Error,No
0,2002-10-15,10,16:49,Open Hours,93.0,0-200,Swipe Transaction,in-person,US not CA,Retail and Wholesale Stores,No Error,No
0,2002-10-16,10,11:47,Open Hours,143.0,0-200,Swipe Transaction,in-person,US not CA,"Airlines, Hotels and Lodging, Car Rentals, and Travel-Related Services",No Error,No
0,2002-10-16,10,11:54,Open Hours,-207.0,Less than Zero,Swipe Transaction,in-person,US not CA,"Airlines, Hotels and Lodging, Car Rentals, and Travel-Related Services",No Error,No
0,2002-10-16,10,14:09,Open Hours,4.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-16,10,20:01,Evening,521.0,More than 200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-10-17,10,06:09,Morning,114.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-18,10,06:12,Morning,91.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-18,10,11:32,Open Hours,2.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-19,10,06:29,Morning,130.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-19,10,06:47,Morning,24.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-20,10,06:46,Morning,41.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-21,10,06:47,Morning,44.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-21,10,12:31,Open Hours,49.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-10-21,10,12:39,Open Hours,-57.0,Less than Zero,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-10-21,10,12:52,Open Hours,57.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-10-22,10,06:07,Morning,164.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-23,10,06:00,Morning,202.0,More than 200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-23,10,09:32,Open Hours,18.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-10-24,10,06:19,Morning,119.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-24,10,13:04,Open Hours,66.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-24,10,13:23,Open Hours,62.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-24,10,13:26,Open Hours,-66.0,Less than Zero,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-25,10,06:06,Morning,39.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-25,10,06:14,Morning,149.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-25,10,13:48,Open Hours,36.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-25,10,20:10,Evening,73.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-10-26,10,06:05,Morning,119.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-26,10,06:55,Morning,38.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-26,10,22:13,Night,216.0,More than 200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-10-27,10,06:04,Morning,131.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-10-27,10,06:40,Morning,37.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-28,10,06:17,Morning,157.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-28,10,11:41,Open Hours,2.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-29,10,13:20,Open Hours,10.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-10-29,10,21:44,Evening,30.0,0-200,Swipe Transaction,in-person,USA CA,"Entertainment, Leisure, and Recreation",No Error,No
0,2002-10-30,10,06:05,Morning,78.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-30,10,06:48,Morning,36.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-31,10,06:11,Morning,136.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-31,10,06:56,Morning,38.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-10-31,10,13:08,Open Hours,96.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-10-31,10,13:09,Open Hours,-96.0,Less than Zero,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-10-31,10,13:11,Open Hours,61.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-11-01,11,10:59,Open Hours,25.0,0-200,Swipe Transaction,in-person,USA CA,Personal Care Services and Products,No Error,No
0,2002-11-01,11,13:53,Open Hours,46.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-01,11,19:16,Evening,17.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-11-01,11,20:25,Evening,162.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-11-02,11,06:05,Morning,133.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-02,11,06:15,Morning,30.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-02,11,19:59,Evening,12.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-03,11,05:36,Night,150.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-03,11,06:05,Morning,181.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-04,11,06:03,Morning,56.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-04,11,13:20,Open Hours,76.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-04,11,20:00,Evening,77.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-11-05,11,05:41,Night,148.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-05,11,06:28,Morning,107.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-11-05,11,16:43,Open Hours,28.0,0-200,Online Transaction,online,Online,Miscellaneous Services and Utilities,No Error,No
0,2002-11-07,11,06:08,Morning,141.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-07,11,06:50,Morning,117.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-08,11,06:18,Morning,123.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-08,11,06:35,Morning,42.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-09,11,06:19,Morning,167.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-09,11,09:44,Open Hours,169.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-11-09,11,21:09,Evening,86.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-11-10,11,06:23,Morning,152.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-11-10,11,06:32,Morning,41.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-10,11,09:45,Open Hours,108.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-11-10,11,12:39,Open Hours,60.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-10,11,12:50,Open Hours,-91.0,Less than Zero,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-10,11,12:57,Open Hours,91.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-10,11,13:09,Open Hours,-98.0,Less than Zero,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-10,11,13:12,Open Hours,98.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-10,11,13:20,Open Hours,52.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-11,11,06:10,Morning,130.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-11,11,07:16,Morning,126.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-13,11,20:06,Evening,64.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-11-14,11,05:29,Night,151.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-14,11,06:25,Morning,113.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-15,11,07:36,Morning,39.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-15,11,09:37,Open Hours,67.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-11-15,11,14:05,Open Hours,58.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-15,11,22:06,Night,186.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-16,11,06:28,Morning,134.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-16,11,09:59,Open Hours,60.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-11-17,11,06:14,Morning,158.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-11-17,11,20:33,Evening,95.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
